Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average SG Putts,SG:OTT,SG:APR,SG:ARG
75.0,63.67,275.9,63.15,29.39,57.11,-0.133,-0.685,-0.246,-0.076
86.0,63.67,291.7,66.6,29.25,58.53,-0.044,0.138,0.297,-0.2269999999999999
63.0,63.61,288.1,64.91,29.6,54.72,-0.32,0.139,-1.035,-0.142
94.0,63.46,297.0,69.96,29.02,64.52,0.133,0.349,0.939,0.122
73.0,63.4,294.5,64.55,29.58,58.06,0.268,0.376,-0.8859999999999999,-0.326
68.0,63.34,293.5,66.75,29.13,58.62,0.078,-0.035,-0.292,-0.0579999999999999
89.0,63.3,294.5,67.15,29.21,57.72,-0.001,0.268,0.519,-0.133
78.0,63.29,300.5,66.98,28.32,62.85,0.852,0.3779999999999999,0.408,0.349
71.0,63.18,288.1,66.93,29.54,55.73,0.12,-0.081,-0.088,-0.287
96.0,63.14,293.9,66.09,29.36,60.58,0.036,0.177,0.016,0.03
91.0,63.1,282.3,62.48,28.4,61.5,0.451,-0.262,-0.563,0.19
98.0,62.85,290.7,64.89,28.43,63.47,0.409,0.003,0.183,-0.044
99.0,62.79,297.6,67.32,28.99,57.22,0.434,0.31,0.196,0.0
93.0,62.72,291.1,66.1,28.81,55.43,0.247,0.037,0.304,-0.263
100.0,62.69,286.9,63.02,28.97,56.76,0.11,-0.05,-0.062,0.051
68.0,62.67,287.2,62.71,28.9,56.82,-0.076,0.03,-0.221,-0.149
80.0,62.59,286.5,65.51,29.29,60.85,0.043,-0.064,-0.327,0.196
92.0,62.58,294.1,69.44,30.42,56.66,-0.43,0.208,0.05,0.0
72.0,62.55,283.5,64.46,28.44,67.36,0.025,-0.162,0.573,0.501
89.0,62.28,299.9,67.29,29.4,60.51,-0.013,0.387,0.411,0.09
79.0,62.12,289.8,62.83,28.15,58.53,0.484,-0.032,0.054,-0.031
104.0,62.07,289.6,63.19,28.3,62.74,0.6,0.015,-0.198,0.3289999999999999
53.0,61.98,280.8,66.06,28.5,64.06,0.5720000000000001,-0.311,0.503,0.314
61.0,61.81,285.1,64.69,29.15,58.67,-0.006,0.022,-0.429,0.006
60.0,61.72,284.8,63.69,28.88,58.74,0.84,-0.431,-0.373,-0.208
97.0,61.66,291.6,66.14,29.38,61.83,-0.191,0.168,0.053,0.121
77.0,61.62,291.2,67.61,29.08,55.8,0.402,0.0409999999999999,-0.123,-0.306
52.0,61.47,298.9,69.21,29.19,60.15,0.159,0.623,0.467,0.021
93.0,61.46,290.6,66.04,28.66,63.38,0.346,-0.147,0.222,0.44
65.0,61.08,300.9,69.73,29.38,61.39,-0.311,0.795,0.3779999999999999,0.182
100.0,60.94,284.1,65.28,28.82,60.0,0.3339999999999999,-0.198,-0.032,-0.057
71.0,60.83,287.8,64.01,29.97,52.83,-0.518,-0.11,-0.231,0.183
82.0,60.79,289.8,64.71,28.88,58.51,-0.017,-0.118,-0.018,-0.009
57.0,60.73,286.4,64.78,29.36,59.23,-0.457,-0.209,-0.314,-0.054
80.0,60.57,276.9,63.61,28.76,58.78,0.374,-0.812,0.432,0.1169999999999999
72.0,60.53,294.0,67.48,29.28,59.55,-0.057,0.01,-0.119,0.122
86.0,60.46,283.6,65.46,28.79,62.06,0.265,-0.406,0.631,0.288
81.0,60.41,282.7,65.39,29.5,58.57,-0.2,-0.539,0.1009999999999999,-0.064
